film_id,title,category,number_of_times_rented
959,Warlock Werewolf,Children,6
977,Window Side,Travel,12
710,Rage Games,Family,19
60,Beast Hunchback,Classics,11
926,Untouchables Sunrise,Documentary,8
455,Impossible Prejudice,Foreign,14
341,Frost Head,Classics,30
79,Blade Polish,Drama,22
659,Park Citizen,Action,8
675,Phantom Glory,New,6
730,Ridgemont Submarine,New,32
479,Jedi Beneath,Family,19
227,Details Packer,Games,19
525,Loathing Legally,Classics,27
271,Easy Gladiator,Action,23
649,Oz Liaisons,Animation,24
904,Train Bunch,Horror,4
782,Shakespeare Saddle,Sports,22
559,Married Go,Sci-Fi,30
468,Invasion Cyclone,Children,27
952,Wagon Jaws,Documentary,10
633,October Submarine,Classics,11
8,Airport Pollock,Horror,18
352,Gathering Calendar,Games,11
849,Storm Happiness,Animation,29
209,Darkness War,Drama,13
11,Alamo Videotape,Foreign,24
252,Dream Pickup,Action,22
722,Reef Salute,Horror,11
246,Doubtfire Labyrinth,Foreign,10
377,Grease Youth,Family,21
666,Paycheck Wait,Drama,16
177,Connecticut Tramp,Sci-Fi,13
395,Handicap Boondock,Action,28
405,Haunted Antitrust,Travel,6
695,President Bang,Family,7
203,Daisy Menagerie,Sci-Fi,16
914,Trouble Date,Travel,23
131,Center Dinosaur,Classics,24
766,Savannah Town,Drama,12
241,Donnie Alley,Animation,14
72,Bill Others,Documentary,19
393,Halloween Nuts,Documentary,10
558,Mannequin Worst,New,5
27,Anonymous Human,Sports,13
567,Meet Chocolate,Foreign,12
683,Pity Bound,Drama,26
700,Prix Undefeated,Family,11
267,Eagles Panky,New,22
678,Pickup Driving,Sports,16
39,Armageddon Lost,Sci-Fi,21
550,Maguire Apache,Family,9
541,Luke Mummy,Animation,7
74,Birch Antitrust,Music,11
102,Bubble Grosse,Sports,6
304,Fargo Gandhi,Children,24
250,Dragon Squad,Action,11
827,Spice Sorority,Drama,20
244,Dorado Notting,Music,27
787,Shining Roses,Travel,8
194,Crow Grease,Action,12
48,Backlash Undefeated,Children,19
261,Duffel Apocalypse,Documentary,7
435,Hotel Happiness,Foreign,9
636,Oleander Clue,Music,10
310,Fever Empire,Games,5
947,Vision Torque,Foreign,7
957,War Notting,Foreign,12
539,Luck Opus,Drama,10
978,Wisdom Worker,Comedy,9
287,Entrapment Satisfaction,Action,15
63,Bedazzled Married,Family,13
676,Philadelphia Wife,Sports,23
896,Tootsie Pilot,Children,15
77,Birds Perdition,New,18
380,Greek Everyone,Foreign,17
463,Instinct Airport,Sports,18
618,Necklace Outbreak,Drama,15
47,Baby Hall,Foreign,8
970,Westward Seabiscuit,Classics,26
915,Truman Crazy,Action,23
258,Drums Dynamite,Horror,13
437,House Dynamite,Family,23
614,Name Detective,Games,23
985,Wonderland Christmas,Sci-Fi,22
822,Soup Wisdom,Family,8
536,Lovely Jingle,Classics,14
965,Watership Frontier,Horror,6
340,Frontier Cabin,New,6
433,Horn Working,Animation,24
623,Newton Labyrinth,Foreign,17
861,Suit Walls,Games,21
534,Louisiana Harry,Family,17
512,League Hellfighters,Classics,17
826,Speed Suit,Travel,9
837,Stage World,Comedy,10
445,Hyde Doctor,Classics,26
602,Mourning Purple,Sci-Fi,21
296,Express Lonely,Sci-Fi,13
413,Hedwig Alter,Comedy,12
949,Volcano Texas,Games,22
922,Undefeated Dalmations,Horror,21
627,North Tequila,Documentary,11
628,Northwest Polish,Sports,20
94,Braveheart Human,Family,5
747,Roxanne Rebel,Games,19
446,Hysterical Grail,Sports,15
528,Lolita World,Family,10
753,Rush Goodfellas,Family,31
772,Sea Virgin,Drama,22
6,Agent Truman,Foreign,21
932,Valley Packer,Comedy,15
12,Alaska Phantom,Music,26
308,Ferris Mother,Comedy,17
245,Double Wrath,Animation,25
305,Fatal Haunted,New,28
